algoritmo,probabilidad,caracteres_mensaje,bits_datos,bits_trama,overhead_bits,overhead_pct,bits_alterados,bloques_corregidos,exito_reportado,mensaje_correcto
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,1,1,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,1,1,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,4,32,56,24,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,1,1,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,8,64,112,48,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,1,1,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,0,0,1,1
HAMMING,0.001,16,128,224,96,75.0,2,2,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,2,2,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,2,2,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,2,2,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,2,2,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,32,256,448,192,75.0,1,1,1,1
HAMMING,0.001,32,256,448,192,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,2,2,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,3,3,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,2,2,1,1
HAMMING,0.001,64,512,896,384,75.0,2,2,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,3,3,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,1,1,1,1
HAMMING,0.001,64,512,896,384,75.0,3,3,1,1
HAMMING,0.001,64,512,896,384,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,4,4,1,1
HAMMING,0.001,128,1024,1792,768,75.0,4,4,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,5,5,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,4,4,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,4,4,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,0,0,1,1
HAMMING,0.001,128,1024,1792,768,75.0,1,1,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.001,128,1024,1792,768,75.0,5,5,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,3,3,1,1
HAMMING,0.001,128,1024,1792,768,75.0,2,2,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,1,1,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,2,2,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
HAMMING,0.005,4,32,56,24,75.0,0,0,1,1
